segment_id,interstate,corridor,demand_score,feasibility_score,safety_score,lane_score,composite_score
I55-004,I-55,St. Louis ↔ Chicago,0.9440157609587917,0.40416482462251246,0.6128112510672821,1.0,0.675066017720277
I55-005,I-55,St. Louis ↔ Chicago,0.8304055163355771,0.44114660428935265,0.6894402612704125,1.0,0.6674033075363286
I70-022,I-70,St. Louis ↔ Kansas City,0.47529141356099164,0.4311333664344096,0.7025045723079066,1.0,0.5428748160753671
I70-021,I-70,St. Louis ↔ Kansas City,0.45575439172549664,0.41800951576507833,0.6202885901904284,1.0,0.5108895151693084
